Town,Lat,Long,12,13,14,15,16,17,18,19,20,21
North Stonington,41.436,-71.882,,,,0.000,0.000,0.000,0.039,0.648,0.620,0.698
Old Lyme,41.347947,-72.306944,,0.000,,,,0.157,0.648,0.768,0.493,
Old Saybrook,41.297456,-72.390458,,,,,,0.737,0.552,0.764,,
Orange,41.2795,-73.0245,0.000,0.000,,0.560,,0.115,0.235,,0.286,
Plainville,41.68069,-72.84739,0.000,0.000,0.017,0.119,,0.113,0.114,0.500,0.491,0.200
Pomfret,41.87497,-71.98025,,,0.000,0.000,0.000,0.111,0.000,0.049,,
Portland,41.58102,-72.619301,,,0.008,0.233,0.108,,,,,
Preston,41.486971,-72.032715,,,,,,0.000,0.000,,0.604,
Prospect,41.497119,-72.975141,0.133,0.500,,0.846,0.216,0.273,0.344,0.470,0.432,0.050
Putnam,41.920839,-71.919989,,,,,,,,0.000,,
Redding,41.306794,-73.404295,,,0.000,0.000,,0.524,0.789,,0.632,
Ridgefield,41.277919,-73.492611,,,,,,,,0.930,,
Rocky Hill,41.662438,-72.682411,,,0.020,0.172,,,0.077,,,
Roxbury,41.54913,-73.31458,,0.000,0.000,0.097,0.091,0.333,0.800,0.831,0.738,0.545
Salisbury,41.964939,-73.438947,0.000,0.000,0.000,0.000,0.000,,0.346,,,
Scotland,41.683160,-72.088120,,0.000,0.000,0.000,0.000,0.000,0.000,0.167,,
Seymour,41.402343,-73.05582,,,0.902,0.917,0.762,0.837,0.413,0.553,0.215,0.164
Sharon,41.885649,-73.496454,0.000,0.000,,0.000,,0.048,0.612,1.000,1.000,0.909
Shelton,41.321482,-73.100086,,,0.035,0.794,,,,,,
Sherman,41.577588,-73.494034,0.000,0.029,0.000,,0.016,,0.667,0.833,1.000,1.000
Southbury,41.500928,-73.160884,,0.006,0.327,0.634,0.962,0.950,0.744,0.711,0.397,0.167
Southington,41.6067,-72.8502,0.000,0.000,0.160,0.667,0.579,0.449,0.342,0.836,0.246,
Sprague,41.614757,-72.075693,,,,0.034,,,,,,
Stafford,41.990994,-72.278118,,,,,,,,0.047,,
Stamford,41.067529,-73.522035,,,,0.000,,0.147,,,,
Sterling,41.70527,-71.835695,,,,,,0.000,0.000,,,
Stratford,41.238011,-73.120718,,,,,0.182,0.879,,0.591,,
Thomaston ,41.6751,-73.0755,0.000,0.000,0.182,,,0.788,0.667,0.804,0.667,0.136
Thompson,41.979701,-71.90415,,,,,,,,0.018,,
Torrington,41.637112,-73.31887,,,0.000,0.019,,,0.725,0.708,,
Trumbull,41.255484,-73.226495,,0.000,0.056,0.776,,,,1.000,,
Vernon,41.8103,-72.4711,0.000,0.000,0.000,0.000,,0.346,,0.840,,
Wallingford,41.452819,-72.787344,,0.000,0.269,0.510,0.928,0.825,0.368,0.631,0.000,
Washington,41.636967,-73.319487,0.000,0.000,0.000,0.072,,,0.792,0.970,1.000,0.977
Watertown,41.619389,-73.094276,,,,0.232,,0.860,0.784,,,
West Haven,41.2494,-72.9824,0.000,0.000,,,0.208,0.808,0.857,0.984,0.894,0.660
Westbrook,41.287183,-72.440844,,0.000,,0.000,0.115,0.421,0.656,0.830,0.542,
Weston,41.202513,-73.380218,,,,,,,0.235,0.984,0.200,
Westport,41.144869,-73.328609,0.000,0.000,0.000,0.261,0.043,,,,,
Willington,41.872026,-72.26327,0.000,0.000,0.000,0.000,0.000,,,0.122,0.414,
Wilton,41.245352,-73.43346,0.000,0.000,0.000,0.009,0.111,0.300,0.848,0.969,0.878,
Windham,41.70037,-72.182955,,,,,,,,0.029,0.000,
Wolcott,41.556357,-72.969518,,,0.900,0.255,0.094,,0.026,0.862,0.209,0.417
Woodbridge,41.353502,-73.01725,,,,,,,0.772,0.972,0.407,
Woodbury,41.550519,-73.212013,,0.000,,,,,0.667,0.870,0.794,
