"FIPS" "first.year" "long" "lat" "ba" "plant" "x" "y"
"1468" 25009 1992 -70.97771 42.6698 110.3900922 6.24357 0.0813002148317868 -1.20951637514892
"1469" 25011 1997 -72.59141 42.58311 341.565184 5.47187 0.06082997268225 -1.21224284161332
"1470" 25013 1989 -72.62533 42.13671 145.444888 5.83544 0.0607875869157303 -1.22009745703915
"1471" 25015 1994 -72.6591 42.33916 178.26499 5.64147 0.0601783128455752 -1.21656588154836
"1472" 25017 1990 -71.38994 42.48438 110.134288 5.97043 0.0762577696083173 -1.2131077327375
"1476" 25021 1991 -71.22483 42.15699 13.9429966 6.28699 0.0787359191464601 -1.21871364133095
"1478" 25023 1992 -70.81561 41.95679 3.7743327 6.50727 0.0842244506876185 -1.22187381174276
"1479" 25025 1998 -71.10562 42.30928 5 6.61364 0.0800885709691415 -1.21594366124813
"1481" 25027 1995 -71.90744 42.35404 235.4316208 5.75025 0.0697826630269686 -1.21579091632297
"1936" 33005 2010 -72.25419 42.92029 157.432971 5.48816 0.0648130087330171 -1.20610768687219
"1939" 33011 2006 -71.71271 42.91749 62.117081 5.52271 0.0716862452482006 -1.20576792627727
"1941" 33015 2001 -71.12159 42.99017 225.8701 5.69715 0.0791004117816461 -1.20402581204934
"1945" 34001 1992 -74.67418 39.48059 NA 6.70136 0.0357931309169431 -1.2678531904624
"1951" 34003 1991 -74.07378 40.96162 51.458421 6.86484 0.042900854334514 -1.24153673982876
"1952" 34005 1991 -74.66579 39.88453 21.999629 6.79893 0.0357036104604873 -1.26073692431162
"1953" 34007 1992 -74.9468 39.79758 2.275706 7.01952 0.0320147398304318 -1.26236808962146
"1954" 34009 1992 -74.80786 39.15104 NA 7.14105 0.0341655408641036 -1.27370671841727
"1962" 34011 1992 -75.11115 39.37064 NA 6.93623 0.0300094860038714 -1.26994098842068
"1963" 34013 1991 -74.24867 40.79101 0.0816327 6.75 0.0407144045162799 -1.2446148102254
"1964" 34015 1992 -75.13739 39.71494 5.6608583 7.14146 0.0295172509985413 -1.26388511215955
"1965" 34017 1992 -74.09298 40.74154 1.3214286 7.20979 0.0427830372474892 -1.24541672408115
"1966" 34019 1991 -74.91399 40.57309 0.634783 6.48882 0.032099559714338 -1.24870425901847
