"FIPS" "first.year" "long" "lat" "ba" "plant" "x" "y"
"2656" 51089 1991 -79.89211 36.67933 0 7.00991 -0.0351482619488848 -1.31725606898164
"2657" 51091 1993 -79.57788 38.36503 0.483636 5.77424 -0.030098774210667 -1.28766485037705
"2661" 51101 1993 -77.08741 37.70503 NA 7.16554 0.00368192184663525 -1.29964365734839
"2664" 51105 2006 -83.1175 36.70575 0.44514811 6.51256 -0.0797935287936979 -1.31484039072785
"2665" 51107 2006 -77.64881 39.09418 0 6.84284 -0.00391953551928837 -1.27516076303356
"2667" 51111 1991 -78.24106 36.94881 NA 7.03665 -0.0122172006318088 -1.31291943485712
"2668" 51113 1991 -78.28355 38.41938 0 6.80728 -0.0125514023744932 -1.2869974972645
"2673" 51121 1979 -80.38793 37.16767 0 6.602 -0.0417451546930905 -1.30845360271674
"2674" 51125 1991 -78.88976 37.7848 0 6.90886 -0.020940259575916 -1.29807405798601
"2698" 51133 1971 -76.42509 37.88899 NA 7.49327 0.0127066689083861 -1.29634434880799
"2701" 51137 1993 -78.00929 38.25151 NA 7 -0.00885787959174791 -1.28998689131736
"2702" 51139 1991 -78.48877 38.6232 0 6.46301 -0.0152874962520363 -1.28337555333716
"2703" 51141 1991 -80.3016 36.68438 0 6.95469 -0.0408204869813195 -1.3170034674632
"2704" 51143 1971 -79.39765 36.81722 0 7.10145 -0.0282426768418304 -1.31499188584233
"2708" 51153 1991 -77.48394 38.70822 0 7.0431 -0.00171664486679506 -1.28196711457992
"2709" 51155 1992 -80.70876 37.05456 0 6.47384 -0.0462320257911852 -1.31029733288943
"2710" 51157 1991 -78.16015 38.68946 0 6.58083 -0.0108401784170268 -1.28225305499645
"2712" 51161 1971 -80.05473 37.2647 0 6.89721 -0.0371092460043763 -1.30688259619172
"2713" 51163 1980 -79.45031 37.80911 0 6.65981 -0.0285862227431871 -1.29749962644118
"2714" 51165 1991 -78.88477 38.51659 0.0640138 6.35248 -0.0206647523847354 -1.28517933999
"2715" 51167 2005 -82.09314 36.92939 0 6.46565 -0.0654217785990395 -1.3116880238805
"2716" 51169 2007 -82.60935 36.70928 0 6.55595 -0.0727591977993622 -1.31518610548597
"2717" 51171 1991 -78.57413 38.86481 0 6.45853 -0.0163855680221024 -1.27910375761618
"2718" 51173 1993 -81.52348 36.83148 0.00746269 6.30256 -0.0576344396490124 -1.31378027813311
"2720" 51177 1993 -77.64733 38.19426 0 7 -0.00394818010927588 -1.29102027352557
"2726" 51185 2005 -81.56294 37.11971 0.0250896 6.30583 -0.0579551702831599 -1.30868191474931
"2727" 51187 1991 -78.21302 38.91629 0 6.55978 -0.0115174410423149 -1.27824962039313
"2728" 51191 1993 -81.96338 36.72367 2.9978047 6.43925 -0.0638065499500079 -1.31539697112474
"2731" 51195 2006 -82.62105 36.96933 0.93613 6.43219 -0.0726674073010036 -1.31060166007327
"2732" 51197 1993 -81.06882 36.90559 0 6.3972 -0.0512980781767901 -1.31273599417978
"2738" 51620 1991 -76.9308 36.675 NA 7.5 0.0059047670391007 -1.31778798338587
"2753" 54001 2006 -79.99775 39.13237 0 5.96425 -0.0354112024745418 -1.27400180357557
"2754" 54003 1997 -78.0275 39.46489 0 6.5 -0.00895411792640438 -1.26860334075048
"2755" 54005 2006 -81.70362 38.01848 0.05112878 6.47995 -0.0591679489907704 -1.2927710852075
"2757" 54007 2006 -80.72085 38.70119 0 6.11475 -0.0453716995213856 -1.28128907858597
"2763" 54019 2002 -81.07261 38.02496 0.720588 6.27537 -0.0505793223848907 -1.29302129513517
"2765" 54023 1992 -79.20344 39.10606 0 6.0317 -0.0247718501129373 -1.27471677250238
"2766" 54025 1998 -80.4525 37.94738 0 6.03846 -0.0421865420384213 -1.29469038277059
"2767" 54027 1992 -78.6228 39.31838 3.46377 6.46603 -0.0169341022192717 -1.27110350210845
"2769" 54031 1992 -78.86564 39.01167 0 6.25599 -0.020267562588249 -1.27645983485885
"2772" 54037 1997 -77.86483 39.31058 0 6.52762 -0.00679738830605883 -1.2713355595848
"2773" 54039 2006 -81.51638 38.33558 2.364972 6.51734 -0.0563764979994816 -1.28730172046166
"2774" 54041 2010 -80.50547 38.99753 0 6.002 -0.0422950503857726 -1.27616921598949
"2775" 54043 2009 -82.05941 38.17193 2.49221716 6.50222 -0.0638731711496875 -1.28983932958344
"2776" 54045 2007 -81.93658 37.82529 0.136929 6.50772 -0.0625004735877795 -1.29602316032919
"2777" 54047 2004 -81.65548 37.37835 3.92012 6.4795 -0.0590232575655853 -1.30407137095801
"2778" 54049 2007 -80.23813 39.51234 0 6.02179 -0.0384302956097718 -1.26721636269871
"2781" 54055 2000 -81.10925 37.40217 3.09753 6.36978 -0.0515110546070709 -1.30396957107233
"2782" 54057 1993 -78.94855 39.41122 0.897059 6.39988 -0.0212631472052488 -1.26940245948711
"2784" 54061 2004 -80.03541 39.63298 0.333333 6.24894 -0.0356674493281169 -1.26517092568046
"2785" 54063 1998 -80.54484 37.56066 0 6.26923 -0.0436729732522917 -1.30146077363484
"2786" 54065 1993 -78.27147 39.55707 0.338235 6.49595 -0.012194867255 -1.26695222602306
"2787" 54067 2002 -80.79551 38.29458 0.133333 6.07637 -0.0466374060229241 -1.28841441260461
"2789" 54071 1992 -79.3601 38.68088 1.97905 5.92953 -0.0270308530651848 -1.2821651802564
"2791" 54075 1993 -80.00874 38.33163 0.367442 5.57365 -0.0359522258927024 -1.2881035973603
"2792" 54077 2002 -79.67153 39.46883 0 5.95256 -0.030893845292236 -1.26818928376886
"2794" 54081 2001 -81.24671 37.76951 0 6.12111 -0.05313200305569 -1.29742495918157
"2795" 54083 2001 -79.88044 38.77522 0.261128 5.40126 -0.034005807593319 -1.28033600155765
"2797" 54087 2007 -81.34211 38.71572 0 6.33333 -0.0537351863781539 -1.28070929244658
"2798" 54089 2000 -80.85557 37.64743 0 6.32578 -0.0478713679875527 -1.29978279273604
"2799" 54091 2010 -80.04796 39.33592 0 6.05654 -0.0359826866980121 -1.27039776840393
"2800" 54093 2001 -79.55997 39.11284 0 5.64555 -0.0295506473090746 -1.27449544061225
"2802" 54097 2005 -80.23494 38.9032 1.042605 5.967 -0.0387127552669405 -1.27794595479959
"2803" 54099 2011 -82.41998 38.15222 0 6.5 -0.068784504450791 -1.28993461992435
"2804" 54101 2003 -80.41793 38.49581 1.57718 5.93845 -0.0414043515341177 -1.28504483718903
"2806" 54105 2010 -81.37413 39.02441 0 6.01538 -0.0539367792316769 -1.27525611443144
"2808" 54109 2005 -81.54436 37.60831 14.828019 6.42281 -0.0573200499179215 -1.30009053876661
