"FIPS" "year" "lat" "long" "size" "population" "income" "basalpercent" "x" "y"
"1170" 24031 1982 39.1383 -77.22022 491.25 1004709 48357 15 0.0260153952904204 -1.27412378152603
"1171" 24033 1983 38.82807 -76.86382 482.69 881138 32117 15 0.0309250801605255 -1.27948248204062
"1172" 24035 1983 39.08364 -75.98858 371.91 48595 37366 16 0.0425558611002416 -1.27464231601087
"1173" 24037 1989 38.30229 -76.62963 357.18 108987 34718 39 0.0343243862935847 -1.28866528650803
"1174" 24039 1989 38.12262 -75.73649 319.72 26253 17599 23 0.0465465488959748 -1.29145039779706
"1175" 24041 1983 38.77273 -76.09286 268.54 38098 38199 21 0.0413341333642522 -1.28016427371188
"1176" 24043 1974 39.61131 -77.82077 457.78 149180 26392 25 0.0178466692186765 -1.26592955855071
"1177" 24045 1983 38.37416 -75.62855 374.44 100647 25929 26 0.047848493267245 -1.28696648810696
"1178" 24047 1983 38.22648 -75.3442 468.28 51578 32811 28 0.0518030852701781 -1.28941825663798
"1179" 25001 1905 41.73562 -70.28634 393.72 215423 36000 46 0.114553744926834 -1.22330982420115
"1180" 25003 1945 42.36783 -73.20492 926.83 130016 29387 18 0.0762446247619769 -1.21516003482972
"1181" 25005 1909 41.80539 -71.10949 553.1 551082 28682 34 0.103850987275961 -1.22303368154648
"1182" 25007 1949 41.38519 -70.63476 103.25 17041 33228 47 0.110620583606099 -1.22985999666094
"1183" 25009 1900 42.6698 -70.97771 492.56 755618 34858 35 0.104240535546188 -1.20775556195537
"1184" 25011 1912 42.58311 -72.59141 699.32 71540 28313 18 0.083825724898677 -1.21087003450596
"1185" 25013 1934 42.13671 -72.62533 617.14 465923 25363 30 0.0839324166060214 -1.21872403965751
"1186" 25015 1934 42.33916 -72.6591 527.26 159795 29113 13 0.0832562278080126 -1.21520466342738
"1187" 25017 1900 42.48438 -71.38994 817.82 1537215 41453 30 0.0992671575664082 -1.21144197140508
"1188" 25019 1949 41.2893 -70.05303 44.97 10298 51456 0 0.118307428996396 -1.23083906864875
"1189" 25021 1905 42.15699 -71.22483 396.11 681845 43685 32 0.101851253228859 -1.2169998384329
"1190" 25023 1905 41.95679 -70.81561 659.08 499759 34285 32 0.107398771933206 -1.22005527485588
"1191" 25027 1909 42.35404 -71.90744 1510.77 806163 31470 38 0.0928441403676284 -1.21424756037308
"1192" 26001 1989 44.68868 -83.59498 674.59 10635 21003 56 -0.0548883033948482 -1.17557919549275
